Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
HV143181,02/02/2012 10:11:00 PM,059XX S CALUMET AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0234,20,01A,1179497,1865741,2012,41.786875732,-87.617405044,"(41.786875732, -87.617405044)"
HV146311,02/06/2012 10:32:00 PM,028XX W 66TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0831,15,01A,1158427,1860746,2012,41.773624208,-87.694795243,"(41.773624208, -87.694795243)"
HV149555,02/08/2012 04:52:00 PM,012XX W 59TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION DRIVE/PROP.,false,false,0713,16,01A,1169094,1865656,2012,41.786873855,-87.655550394,"(41.786873855, -87.655550394)"
HV151961,02/10/2012 07:29:00 AM,011XX N WESTERN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,RESTAURANT,true,false,1312,1,01A,1160198,1907658,2012,41.902319697,-87.687009075,"(41.902319697, -87.687009075)"
HV153666,02/11/2012 03:34:00 AM,030XX W 23RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1033,24,01A,1156250,1888560,2012,41.849993569,-87.702026705,"(41.849993569, -87.702026705)"
HV153696,02/11/2012 04:38:00 AM,002XX N LOREL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1523,28,01A,1140670,1901124,2012,41.884770936,-87.758899868,"(41.884770936, -87.758899868)"
HV154847,02/12/2012 01:15:00 AM,019XX S LAWNDALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,true,false,1014,24,01A,1152010,1890114,2012,41.854342414,-87.717547369,"(41.854342414, -87.717547369)"
HV161867,02/17/2012 11:58:00 AM,035XX W HURON ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,1121,27,01A,1152804,1904443,2012,41.89364708,-87.714253714,"(41.89364708, -87.714253714)"
HV163768,02/18/2012 07:33:00 PM,034XX N MONTICELLO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1732,35,01A,1151451,1922528,2012,41.943300617,-87.718746857,"(41.943300617, -87.718746857)"
HV164067,02/19/2012 02:56:00 AM,016XX N ELSTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1433,32,01A,1166584,1911401,2012,41.91245631,-87.663445006,"(41.91245631, -87.663445006)"
HV164425,02/19/2012 12:30:00 PM,050XX S HERMITAGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0931,16,01A,1165533,1871202,2012,41.802169045,-87.668449681,"(41.802169045, -87.668449681)"
HV164778,02/19/2012 05:43:00 PM,028XX W 25TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,1033,12,01A,1157924,1887278,2012,41.846441684,-87.695917766,"(41.846441684, -87.695917766)"
HV164829,02/19/2012 06:26:00 PM,053XX S HOYNE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0915,16,01A,1163272,1869042,2012,41.796289432,-87.676802226,"(41.796289432, -87.676802226)"
HV164849,02/19/2012 06:40:00 PM,025XX E 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0421,7,01A,1194335,1853075,2012,41.751767411,-87.563417608,"(41.751767411, -87.563417608)"
HV164849,02/19/2012 06:40:00 PM,025XX E 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0421,7,01A,1194335,1853075,2012,41.751767411,-87.563417608,"(41.751767411, -87.563417608)"
HV160915,02/20/2012 10:51:00 PM,064XX S DR MARTIN LUTHER KING JR DR,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0312,20,01A,1180027,1862432,2012,41.777783389,-87.615563072,"(41.777783389, -87.615563072)"
HV170129,02/23/2012 06:42:00 PM,015XX S KEDZIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1022,24,01A,1155282,1892116,2012,41.859771107,-87.705484004,"(41.859771107, -87.705484004)"
HV170751,02/24/2012 09:30:00 AM,073XX S BENNETT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,0333,5,01A,1189976,1856768,2012,41.762007252,-87.579272426,"(41.762007252, -87.579272426)"
HV170940,02/24/2012 12:06:00 PM,048XX S LAFLIN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0931,20,01A,1167151,1872707,2012,41.806264438,-87.662472724,"(41.806264438, -87.662472724)"
